num_epoch, train_loss, train_acc, valid loss, valid_test
Model 0, policy step [False, False, False, False, False, False, False, True].
1,2.187953,22,2.184731,21
2,2.003699,36,1.993734,36
3,1.826153,46,1.828352,46
4,1.714198,50,1.702630,51
5,1.584147,55,1.604520,55
6,1.516763,55,1.528762,57
7,1.470586,58,1.464769,58
8,1.409962,58,1.412691,59
9,1.405298,58,1.368425,61
10,1.323191,64,1.330835,61
11,1.310155,62,1.298005,62
12,1.285407,61,1.269834,63
13,1.242172,62,1.244691,63
14,1.222259,62,1.222445,63
15,1.212048,62,1.202109,63
16,1.183804,64,1.182493,63
17,1.154098,66,1.166682,63
18,1.180862,64,1.150239,63
19,1.121078,66,1.136822,63
20,1.103892,64,1.124495,63
21,1.095480,66,1.110900,64
22,1.104545,66,1.100985,64
23,1.111426,64,1.090132,64
24,1.097437,64,1.079971,65
25,1.043745,67,1.070684,65
26,1.040348,65,1.062196,65
27,1.042625,67,1.054628,65
28,1.043263,66,1.044825,66
29,0.959052,71,1.038660,66
30,0.993943,69,1.031444,66
31,1.014565,68,1.024771,67
32,0.986680,70,1.017500,67
33,0.970413,70,1.010998,67
34,0.991816,68,1.006410,67
35,0.997859,69,1.000373,67
36,0.997365,68,0.995001,67
37,0.980774,68,0.988923,67
38,0.975028,69,0.984723,67
39,0.941046,72,0.980337,67
40,0.969421,69,0.975296,68
41,0.955482,70,0.970522,68
42,0.952325,69,0.966218,68
43,0.928386,69,0.960999,68
44,0.950285,69,0.957916,68
45,0.908453,73,0.953818,68
46,0.919523,72,0.950080,68
47,0.933775,70,0.946418,68
48,0.887771,71,0.941814,68
49,0.910156,72,0.938899,69
50,0.900943,71,0.936315,69
51,0.904167,71,0.932431,69
52,0.910076,70,0.928839,69
53,0.873670,71,0.926381,69
54,0.883206,71,0.923513,69
55,0.902329,70,0.921108,69
56,0.879367,70,0.917852,69
57,0.875355,70,0.914953,69
58,0.905244,68,0.911147,70
59,0.887769,71,0.909114,70
60,0.886838,70,0.907060,70
61,0.881288,71,0.903739,70
62,0.887448,70,0.901788,69
63,0.905234,70,0.900173,70
64,0.845727,72,0.898113,70
65,0.867988,72,0.894935,69
66,0.872641,72,0.893272,70
67,0.855643,72,0.890808,70
68,0.805313,74,0.887777,71
69,0.862814,71,0.887272,70
70,0.840052,74,0.884419,70
71,0.832105,72,0.882104,70
72,0.823970,73,0.880323,70
73,0.836858,75,0.878287,70
74,0.872463,71,0.875505,70
75,0.868341,72,0.874432,71
76,0.823356,73,0.873322,70
77,0.840597,71,0.870645,70
78,0.799067,74,0.869056,71
79,0.788511,74,0.867358,71
80,0.806261,75,0.865073,71
81,0.812720,74,0.863402,71
82,0.812465,74,0.862158,71
83,0.783368,75,0.860920,71
84,0.827962,72,0.858480,71
85,0.844935,72,0.858218,71
86,0.814475,73,0.856343,71
87,0.823331,72,0.853915,71
88,0.830013,73,0.853245,71
89,0.789920,74,0.851298,71
90,0.790999,72,0.849605,71
91,0.825507,72,0.848945,71
92,0.816220,72,0.846254,71
93,0.777187,75,0.845152,71
94,0.802251,75,0.844641,71
95,0.827109,73,0.843615,71
96,0.774930,74,0.841179,71
97,0.768223,75,0.839921,71
98,0.827165,72,0.838144,71
99,0.769984,76,0.837897,71
100,0.789118,74,0.835726,71
101,0.810365,71,0.834756,71
102,0.777171,74,0.833700,72
103,0.819290,74,0.832495,71
104,0.800343,72,0.831747,72
105,0.764443,74,0.831022,72
106,0.797348,73,0.829146,72
107,0.766157,75,0.829059,71
108,0.759250,75,0.827662,72
109,0.764309,74,0.827525,71
110,0.799672,73,0.825918,72
111,0.775033,73,0.824511,72
112,0.737849,76,0.822940,72
113,0.752932,76,0.822240,72
114,0.728895,76,0.820878,72
115,0.779674,73,0.819546,72
116,0.787099,73,0.819377,72
117,0.768002,74,0.818650,72
118,0.754256,73,0.818002,72
119,0.758213,75,0.815977,72
120,0.763784,77,0.814957,72
121,0.767423,75,0.813288,72
122,0.766125,75,0.813308,72
123,0.782128,73,0.812426,72
124,0.733758,76,0.812536,72
125,0.761638,74,0.812299,72
126,0.778823,74,0.809254,72
127,0.742710,75,0.808952,72
128,0.723113,77,0.808524,72
129,0.717418,77,0.807404,72
130,0.731842,76,0.805577,72
131,0.754615,75,0.805638,72
132,0.775201,72,0.805666,72
Model saved at 1571876358/0.pt
Final Valid Loss: 0.805666, Final Valid Acc: 72
Model 1, policy step [False, False, False, False, False, False, True, True].
1,0.746809,74,0.805541,72
2,0.745943,75,0.803226,72
3,0.722952,76,0.802501,72
4,0.755271,76,0.801892,72
5,0.757668,75,0.799065,72
6,0.750952,75,0.797697,72
7,0.748913,74,0.797401,72
8,0.774703,74,0.795971,72
9,0.753342,75,0.795126,72
10,0.712300,76,0.791305,73
11,0.718819,78,0.791488,72
12,0.748031,75,0.790386,72
13,0.704933,76,0.788659,73
14,0.721071,76,0.788015,73
15,0.752255,74,0.786993,72
16,0.719559,75,0.785076,73
17,0.691076,78,0.783973,72
18,0.717311,75,0.783464,73
19,0.684044,79,0.781026,73
20,0.716286,77,0.779778,73
21,0.726351,76,0.780388,73
22,0.737046,75,0.779211,73
23,0.713761,77,0.777646,73
24,0.707462,76,0.776620,73
25,0.697227,76,0.774333,73
26,0.688339,76,0.774373,73
27,0.701229,77,0.773521,73
28,0.675904,78,0.772314,73
29,0.704249,76,0.770908,73
30,0.686592,77,0.770820,73
31,0.687557,77,0.768646,73
32,0.667518,77,0.767817,73
33,0.663077,77,0.766808,73
34,0.715298,77,0.765251,73
35,0.675116,78,0.765794,73
36,0.721160,75,0.764738,73
