num_epoch, train_loss, train_acc, valid loss, valid_test
Model 0, policy step [True, True, True, True, True, True, True, True].
1,2.153192,25,2.153583,25
2,1.920174,41,1.917502,41
3,1.686924,49,1.693273,48
4,1.512799,54,1.504082,54
5,1.333531,60,1.358305,58
6,1.222467,61,1.244792,60
7,1.168187,63,1.155069,63
8,1.081603,65,1.085619,64
9,1.058849,65,1.030260,65
10,0.959489,70,0.981807,68
11,0.948123,69,0.945384,67
12,0.923122,70,0.908673,69
13,0.865123,71,0.880155,70
14,0.820378,74,0.854492,70
15,0.803058,73,0.829564,71
16,0.788947,75,0.808851,72
17,0.738143,77,0.788414,72
18,0.782565,74,0.771253,74
19,0.699339,77,0.755136,74
20,0.660125,78,0.742197,74
21,0.667664,78,0.731609,74
22,0.655034,79,0.716998,75
23,0.671302,76,0.707032,75
24,0.689144,77,0.695269,75
25,0.606480,81,0.687636,75
26,0.611711,80,0.679154,76
27,0.605538,80,0.671248,77
28,0.599381,80,0.663667,76
29,0.529936,82,0.654932,78
30,0.551935,81,0.650220,78
31,0.558080,82,0.641820,78
32,0.560991,82,0.637426,78
33,0.526659,83,0.634943,77
34,0.507746,82,0.627711,78
35,0.533522,82,0.622028,78
36,0.534332,83,0.616569,78
37,0.531944,82,0.616437,78
38,0.495764,83,0.605562,78
39,0.482939,84,0.605440,79
40,0.507795,82,0.598746,79
41,0.526372,83,0.595212,79
42,0.472962,85,0.592835,79
43,0.460866,83,0.587256,80
44,0.482814,84,0.587347,80
45,0.452295,85,0.583570,79
46,0.447884,85,0.579708,79
47,0.443117,85,0.573402,80
48,0.429532,86,0.573935,80
49,0.428780,86,0.571542,80
50,0.424141,86,0.566300,80
51,0.425014,86,0.568581,81
52,0.416525,87,0.565178,80
53,0.387424,87,0.560561,80
54,0.416012,86,0.559101,80
55,0.405753,87,0.557934,80
56,0.390871,86,0.556751,81
57,0.359440,89,0.549980,81
58,0.392573,87,0.549779,81
59,0.396871,87,0.550075,80
60,0.395171,87,0.545582,82
61,0.389736,87,0.547058,81
62,0.392611,87,0.544646,81
63,0.394744,87,0.539842,81
64,0.354700,89,0.543560,82
65,0.359434,88,0.537102,82
66,0.353781,88,0.536335,81
67,0.352848,89,0.533474,81
68,0.307112,91,0.532124,82
69,0.337516,89,0.531877,82
70,0.337351,89,0.531964,82
71,0.338998,89,0.529849,82
72,0.322401,90,0.529641,82
73,0.320969,90,0.524952,82
74,0.350609,90,0.528062,82
75,0.347598,89,0.526556,82
Model saved at 1571879445/0.pt
Final Valid Loss: 0.526556, Final Valid Acc: 82
