num_epoch, train_loss, train_acc, valid loss, valid_test
models/0.pt
[True, True, True, True, True, True, True, True]
1,1.355046,49,1.378697,48
2,0.924493,67,0.982325,65
3,0.660571,77,0.749928,73
4,0.548199,81,0.675666,76
5,0.504752,82,0.698446,76
6,0.341030,88,0.566302,80
7,0.283299,90,0.554940,81
8,0.244938,91,0.563054,81
9,0.199421,93,0.546025,82
10,0.226309,92,0.590028,81
11,0.143579,95,0.548407,83
12,0.131610,95,0.564611,82
13,0.102814,96,0.570016,83
14,0.135030,95,0.621878,82
15,0.070455,98,0.561563,83
16,0.070602,98,0.560681,84
17,0.093726,97,0.660502,82
18,0.092788,97,0.551365,83
19,0.068944,98,0.614874,83
20,0.060856,98,0.692887,82
21,0.064737,98,0.627453,83
22,0.048523,98,0.651870,83
23,0.056871,98,0.650304,83
24,0.079488,97,0.688325,82
25,0.067424,97,0.693034,82
26,0.055768,98,0.700256,83
27,0.052477,98,0.679843,82
28,0.037233,99,0.642943,83
29,0.074768,97,0.723414,81
30,0.075917,97,0.754949,81
31,0.050782,98,0.713487,82
32,0.028326,99,0.660479,83
33,0.047705,98,0.691173,82
34,0.033301,99,0.708284,83
35,0.043305,98,0.735619,83
36,0.035126,99,0.764301,83
37,0.043310,98,0.745335,82
38,0.027559,99,0.693775,83
39,0.033136,98,0.730725,83
40,0.041325,98,0.719205,83
41,0.072897,97,0.802813,82
42,0.048676,98,0.713794,82
43,0.026685,99,0.749010,83
44,0.028160,99,0.784787,83
45,0.023268,99,0.799992,83
46,0.037561,98,0.791313,83
47,0.016812,99,0.722721,84
48,0.031367,99,0.754432,83
49,0.033950,98,0.783909,83
50,0.029159,99,0.838831,82
51,0.025042,99,0.789080,83
52,0.031145,99,0.719209,83
53,0.015305,99,0.785799,84
54,0.021766,99,0.800139,84
55,0.020216,99,0.783699,83
56,0.031708,99,0.846568,82
57,0.016195,99,0.710866,84
58,0.019625,99,0.824255,83
59,0.028423,99,0.887411,83
60,0.015986,99,0.846878,83
61,0.020357,99,0.951518,83
62,0.021742,99,0.753793,84
63,0.016880,99,0.899358,83
64,0.011286,99,0.808959,84
65,0.017251,99,0.807850,84
66,0.017164,99,0.829042,84
67,0.022871,99,0.892955,83
68,0.008253,99,0.798798,84
69,0.023902,99,0.791632,83
70,0.017661,99,0.823874,84
71,0.021664,99,0.809164,83
72,0.016407,99,0.825917,83
73,0.011864,99,0.816700,84
74,0.019742,99,0.866779,83
75,0.017626,99,0.816035,84
76,0.076257,98,1.049696,81
77,0.030021,99,0.832168,82
78,0.017908,99,0.846374,83
79,0.013110,99,0.879213,83
80,0.031970,99,0.884170,83
Model saved at 1570084021.5837529/models/1.pt
Final Valid Loss: 0.884170, Final Valid Acc: 83
